Number,Title,Relevant,Date_Published,Date_bin,Source,URL,SearchTerm,Content,Keywords,Branch,PoliticalActor,Quote
318,Rep Rehberg Statement on Gray Wolf Delisting,Y,5/4/2001,Before,Targeted News Service,https://uwyoidmoclcorg/login?url=https://wwwproquestcom/usnews/wire-feeds/rep-rehberg-statement-on-gray-wolf-delisting/docview/864765768/sem-2?accountid=14793,Wolf delisting AND Montana,,Montana Endangered Species Act De-listing,Legislative,Legislative - Montanas Congressman Denny Rehberg,In the last three years the gray wolf has been removed from the Endangered Species Act three times by two separate Administrations Each time I have praised the supremacy of science and the value of letting Montana manage our own wildlife I am hopeful that this time against all history and precedent the wolf will stay under state control But if it doesnt Im also ready to step in with a permanent legislative fix that gets the federal government out of the process once and for all
104,CROUCHING RULE HIDDEN AGENDA; Idaho and Montana granted more authority to kill wolves,Y,1/12/2005,Before,Boise Weekly,https://uwyoidmoclcorg/login?url=https://wwwproquestcom/newspapers/crouching-rule-hidden-agenda-idaho-montana/docview/367553695/se-2?accountid=14793,Wolf Delisting AND Wyoming,,Wyoming De-listing Wolf Montana Idaho,Executive,Wyoming Gov Dave Freudenthal,Wyoming Gov Dave Freudenthal told the Associated Press last week that the new rule provides little flexibility for Idaho and MontanaI didnt see where it was a significant advantage he said pointing out that Idaho and Montana must still answer to the USFWS When you look at it I think its a lot like taking your sister to the prom
20,Idaho offers wolf delisting plan ; Proposal would lift protections for gray wolf in E Washington,Y,9/2/2005,Before,Columbian,https://uwyoidmoclcorg/login?url=https://wwwproquestcom/usnews/newspapers/idaho-offers-wolf-delisting-plan-proposal-would/docview/253280829/sem-2?accountid=14793,Wolf Delisting AND Idaho,Idaho is floating a new proposal that it hopes could speed the removal of federal protection for gray wolves in the northern Rocky MountainsThe animals have been protected since 1975 under the Endangered Species Act after being hunted to near-extinctionIn early August Gov Dirk Kempthorne gave officials with the US Interior Department a plan calling for removing the wolves from protected status in parts of Idaho Montana Utah Nevada Colorado Washington and OregonThere are more than 800 of the predators in Idaho Montana and Wyoming following their reintroduction to the region around Yellowstone National Park a decade ago Environmentalists and government officials say the effort has succeeded and now many people including ranchers and hunters want to see the animals delisted because they believe wolves should be more tightly controlled to limit depredations on livestock and game animalsRecent federal court rulings and the failure of Wyoming Idahos neighbor to the east to get federal approval for a plan to manage wolves within its borders have hampered the delisting process Idaho officials said Kempthornes proposal could break this bottleneck and move wolves closer to the day when theyll be treated like other wildlife such as elk or black bearsWe wanted to get the ball rolling said James Caswell a former national forest supervisor who heads Idahos species conservation office of the plan presented with little fanfare Aug 4It calls for wolves to be delisted east of the Cascade Mountains in Oregon and Washington as well as in northern Nevada Utah and Colorado They would be delisted in much of Idaho and Montana though they would be managed under existing rules south of Interstate 90 and east of Interstate 15 in both states which includes the Montana and Idaho areas on the Wyoming state lineWyoming wolves would continue to be managed by federal officialsHugh Vickery an Interior spokesman in Washington DC said his agency isnt ready to comment on Kempthornes proposalSome environmental groups were skeptical in part because territory where Kempthorne calls for the wolves to be delisted includes states where the animal hasnt even been reintroduced such as Nevada Utah and Colorado That could hamper efforts to establish wolves there they said,Idaho Montana Wyoming De-listing Endangered Species List,Executive,James Caswell  Idahos Office of Species Conservation,We wanted to get the ball rolling said James Caswell a former national forest supervisor who heads Idahos species conservation office of the plan presented with little fanfare Aug 4
613,Speed up delisting of wolves officials in Gallatin County say,Y,1/20/2006,Before,Great Falls Tribune,https://wwwproquestcom/docview/2061224777/pagelevelImagePDF/5476D669A7E34AFEPQ/54?accountid=14793&sourcetype=Historical%20Newspapers,Wolf Delisting AND Rocky Mountain,The Gallatin County Commission voted to support a resolution calling on federal authorities to speed up efforts to remove gray wolves from protection under the Endangered Species Act Commissioners voted 2-1 Tuesday in support of the joint resolution which is being sought by county commissioners in seven counties near Yellowstone National Park The document which isnt legally binding labels wolves a predator species in need of management and requests that the governor of Montana take steps to compensate ranchers for livestock losses The resolution also asks that government agencies do better to notify citizens when wolves are in a specific area and should set up a 24-hour hotline for people to report wolf sightings Wolf advocates argued the resolution as worded could delay the species delisting The counties are making the same mistake Wyoming did in attempting to label wolves a predator species they said The designation doesnt carry the regulatory protections needed before federal agencies will agree to delist the animal Individual commissioners in Gallatin Park Beaverhead Carbon Madison Stillwater and Sweet Grass counties are pushing for each county to support the resolution Six counties have adopted it Carbon County hasnt voted yet Commissioner John Vincent voted against the resolution He supports wolf delisting and state management but believes it should be achieved through cooperation with the agencies overseeing the species ,Montana De-listing Endangered Species Act Gray Wolves,NGO,General Environmental Advocates,Wolf advocates argued the resolution as worded could delay the species delisting The counties are making the same mistake Wyoming did in attempting to label wolves a predator species they said
27,BACK FROM THE BRINK,Y,2/9/2006,Before,Missoula Independent; Missoula Mont,https://uwyoidmoclcorg/login?url=https://wwwproquestcom/newspapers/back-brink/docview/363291996/se-2?accountid=14793,Wolf Delisting AND Wyoming,,Montana Wyoming Idaho De-listing Endangered Species List  Wolf Gray Wolves,Public/Private,Ed Cummings who owns a 1000-acre ranch near Stevensville with 500 head of cattle,says hes adjusted his operation since wolves moved into the Bitterroot Valley several years ago When the Bass Creek Pack first established itself he lost six calves to wolves and worked with FWS officials to develop a radio-signal-triggered aversion system that set off a car alarm and strobe lights anytime a wolfwearing a radio collar approached a pastureMy theory is the wolves will follow the elk herd out of the valley then Cummings says This is our fourth year trying this - we havent lost any [cattle] to wolves in the last six yearsThe first time I saw wolves on this ranch they were so beautiful and so majestic and all I could think of were stories I had read as a kid like White Fang I just thought it was exciting and everyone should have that experience Cummings says The question is: Can we do that without feeding them our livestock?That question will become more urgent as more packs move into the area he saysRight now everything seems to be under control but what happens if our wolf population gets to the point where theyre facing starvation because the elk and deer populations are down? Will they turn to cattle? I dont know he saysThe prospect of delisting and the shift from federal to state management doesnt mean a whole lot to him he says other than determining which manager he keeps in touch withAs far as the improved flexibility for harassing and killing wolves that comes with state management he shrugs it off: I dont think anyone paid attention to the federal regulations in the first place Its nice to know you wont go to jail for shooting them now but I dont think it changes the practices one iota - it just means theres less risk involved for you
206,Bid to change wolfs status nixed,Y,7/29/2006,Before,Deseret News,https://uwyoidmoclcorg/login?url=https://wwwproquestcom/newspapers/bid-change-wolfs-status-nixed/docview/351456596/se-2?accountid=14793,Wolf Delisting AND Wyoming,,Montana Idaho Wyoming Wolf De-listing Endangered Species Act NGO,Executive,Ed Bangs a US Fish and Wildlife Service Wolf Biologist,Ed Bangs coordinator of the Fish and Wildlife Services gray wolf recovery effort in Helena Mont said Monday that his agency is satisfied with the number of wolves now roaming the hills in Wyoming Montana and IdahoWe dont want to see more wolves in the wild Bangs said We think the population is fully recoveredBut Bangs said Wyoming needs to change its state law to give the state Game and Fish Department authority to maintain at least 10 breeding pairs and 100 total wolves in the state in midwinter before the federal agency can agree to removing federal protectionsBangs said the Fish and Wildlife Service wants to see regulated public hunting of wolves in the three states However he said that in order for that to happen the agency has to be assured that if it removed the protections of the endangered species act the wolves would be adequately protectedOur conclusion is that Wyoming law and its plan really dont provide enough assurance for us to move forward with delisting at this time Bangs said
203,Grey Wolf Close to Leaving Endangered Species List,Y,12/20/2006,Before,NPR,https://uwyoidmoclcorg/login?url=https://wwwproquestcom/other-sources/grey-wolf-close-leaving-endangered-species-list/docview/189795315/se-2?accountid=14793,Wolf Delisting AND Wyoming,In the view of conservationists this isnt an about-face Federal officials have promised to remove the grey wolf from the endangered species list in the states of Montana and Idaho even if they cannot do the same in Wyoming This has to do with where the wolf was protected and where it can be shotMontana Public Radios Hope Stockwell reports HOPE STOCKWELL: Montana Governor Brian Schweitzer has waited months to hear these words from the US Fish and Wildlife Services director Dale Hall Mr DALE HALL (Director US Fish and Wildlife Service): Our efforts to have partnership those are critically based upon the ability of a partner to be rewarded for stepping up and not be held back or punished if another partner decides not to STOCKWELL: That other partner Hall is talking about is Wyoming The Fish and Wildlife Services says Wyomings current proposal wouldnt provide enough protection for wolves outside of Yellowstone National Park where the majority live The federal agency is happy however with the wolf management plans offered by Idaho and Montana And the delisting of the grey wolf in these two states could begin as early as next month That makes Montana cattle rancher Earl Stocky(ph) very happy Mr EARL STOCKY (Cattle Rancher Montana): If I shot a wolf here on this ranch it would be a federal offense right now STOCKWELL: But if the animals are delisted Stocky could shoot a wolf on sight if it attacks his livestock Stocky estimates hes lost 20 to 30 calves and yearlings in the last five years to wolves but says its hard to prove because the wolves dont leave much evidence behind Conservationist Susan Stone with the group Defenders of Wildlife understands Stockys frustration but she says the deal to delist Montana and Idaho without Wyoming probably will end up in courtMore importantly Stone says without an approved plan in Wyoming theres not enough stability for wolves across the region Ms SUSAN STONE (Defenders of Wildlife): I think the State of Montana has to be commended and actually stands head and shoulders above the others in that the wolf management plans there is one of the best in the country It really took into account all of the stakeholders needs and concerns and thats what we want to see in all three states STOCKWELL: Wolves has made a comeback since the late 1970s thanks to packs that have migrated south from Canada and the reintroduction of wolves in Yellowstone and central Idaho Theyve grown to more than 1200 today more than four-times the number required by the Fish and Wildlife ServiceFor National Public Radio in Helena Montana Im Hope Stockwell,Montana De-listing Recovery Wolf,Executive,Dale Hall Director US Fish and Wildlife Service,Mr DALE HALL (Director US Fish and Wildlife Service): Our efforts to have partnership those are critically based upon the ability of a partner to be rewarded for stepping up and not be held back or punished if another partner decides not to
35,Idaho starts planning for wolf delisting,Y,12/24/2006,Before,Associated Press,https://uwyoidmoclcorg/login?url=https://wwwproquestcom/usnews/newspapers/idaho-starts-planning-wolf-delisting/docview/351508963/sem-2?accountid=14793,Wolf Delisting AND Idaho,Idaho Department of Fish and Game officials are crafting their strategy for wolf management in the state following the announcement last week that the federal government will begin removing protections from the states gray wolvesThe department plans to survey elk and deer hunters to determine how many of them saw wolves while hunting and where they saw themThe results and other research by the department will be used to determine where wolves can be hunted and what kind of options hunters will have from special draws for a limited number of hunting tags in some areas to general hunts in othersWell be looking at where we want stable wolf populations and where we want to moderate wolf populations and where we might want to have no wolves or few wolves said Steve Nadeau large carnivore coordinator for the Idaho Department of Fish and Game in BoiseWolves were reintroduced to the northern Rocky Mountains a decade ago after being hunted to near-extinction They now number more than 1200 in the region Idahos federally approved wolf-management plan requires maintaining a minimum of 15 packs; the state is currently estimated to have about 60 packsWith the rising population state officials including Idaho Gov Jim Risch and Montana Gov Brian Schweitzer have been pushing the Fish and Wildlife Service to remove Endangered Species Act protections that officials say hamper control efforts aimed at stopping the predators that have spread into populated areas and are eating livestock as well as elk that are prized by huntersThose are areas we dont expect long-term survival Nadeau said Those are areas we might want to hunt them hardFish and Wildlife Director Dale Hall said last week that wolves would no longer have federal protections in all of Idaho Montana eastern Washington and Oregon and a small sliver of northeastern Utah Wolves outside of those areas would still have federal protectionsThe Idaho Fish and Game Commission will make the final decision on how wolves will be managed in IdahoEstablishing rules for wolf hunting is expected to take about a year Officials say the process of delisting the wolves will probably take about a year as well because of public comment requirements and likely court challenges from environmental groups,Idaho Montana De-listing Protections Endangered Species List Wolf,Executive,Idaho Governor Jim Risch and Montana Governor Brian Schweitzer,With the rising population state officials including Idaho Gov Jim Risch and Montana Gov Brian Schweitzer have been pushing the Fish and Wildlife Service to remove Endangered Species Act protections that officials say hamper control efforts aimed at stopping the predators that have spread into populated areas and are eating livestock as well as elk that are prized by hunters
502,NEWS SHORTS,Y,12/27/2006,Before,Boise Weekly,https://uwyoidmoclcorg/login?url=https://wwwproquestcom/newspapers/news-shorts/docview/367627501/se-2?accountid=14793,Wolf delisting AND Wyoming,WOLF DELISTING A MAYBE Dont hold your breath but federal wildlife managers have told Gov Jim Risch theyre ready to begin the long march toward removing gray wolves in Idaho from the Endangered Species Act Risch met with US Fish and Wildlife Director Dale Hall last week about the matter Hall told a skeptical Risch that his agency would give notice in January about its entry into the delisting process to remove federal protection for wolves under the Endangered Species ActThe federal agency had been waiting for Wyoming to develop its wildlife management plan as Idaho and Montana have but that process appears stalledAs a sovereign state we should be allowed to move forward to manage a fully recovered species within our borders said Risch in a prepared statement We should not be held hostage by another sovereign state who wants to do something different While I am encouraged by what I heard today promises have been made in the past that have not been keptIf the federal government moves forward with plans to delist the species in Idaho the state could manage wolves within its borders in a year In the past those plans have included aerial shooting of wolves and potentially the eradicating wolf packs in areas where state wildlife officials said wolves were preying on elk herds,De-listing Wolf Wyoming,Executive,Wyoming Gov Jim Risch,As a sovereign state we should be allowed to move forward to manage a fully recovered species within our borders said Risch in a prepared statement We should not be held hostage by another sovereign state who wants to do something different While I am encouraged by what I heard today promises have been made in the past that have not been kept
102,Wolf delisting gains ground,Y,12/28/2006,Before,Missoula Independent ,https://uwyoidmoclcorg/login?url=https://wwwproquestcom/newspapers/wolf-delisting-gains-ground/docview/363267875/se-2?accountid=14793,Wolf Delisting AND Wyoming,The bid to lift endangered species list protections from wolves in Montana and Idaho will begin in January 2007 regardless of Wyoming wolves uncertain status officials said Dec 19The move announced by US Fish & Wildlife Service (FWS) Director Dale Hall comes after pressure from Montana Gov Brian Schweitzer and Idaho Gov Jim Risch who have argued that management disputes between FWS and Wyoming shouldnt prevent complete assumption of state control in Montana and Idaho where long-term management plans have been already been sanctionedCarolyn Sime Montanas statewide wolf coordinator says Montana has been ready for this change since 2003 when populations met recovery goals and the states management plan secured federal approval Montanas plan calls for maintenance of 15 wolf packs as a benchmark; as of November 2006 there were an estimated 59 packs and 300 wolves statewide Sime saysOnce wolves are delisted in Montana theyll be classified as a species in need of management which means that citizens will be able to shoot wolves found attacking killing or threatening to kill people livestock or domestic dogs Sime saysThe move also triggers the possibility of a statewide hunting and trapping season for wolves and Sime says public meetings about the prospect will be held in coming months Delisting itself isnt a done deal until FWS accepts and reacts to public comment beginning in January 2007 but Sime says Montana will begin working on a potential hunting season under the assumption that delisting will move aheadSuzanne Asha Stone Northern Rockies representative for Defenders of Wildlife says her group will fight FWS delisting proposal because in their view it threatens to set very bad precedent She says the regions wolves are interdependent populations that cant be managed in isolation and that all three states must have working management plans in place before delisting proceedsWe all know the ultimate goal is delisting and we support that Stone says But whats also important is to make sure that the factors that caused wolves to become endangered in the first place are addressed,Wolf De-listing Montana,NGO,Suzanne Asha Stone Northern Rockies representative for Defenders of Wildlife,Suzanne Asha Stone Northern Rockies representative for Defenders of Wildlife says her group will fight FWS delisting proposal because in their view it threatens to set very bad precedent She says the regions wolves are interdependent populations that cant be managed in isolation and that all three states must have working management plans in place before delisting proceedsWe all know the ultimate goal is delisting and we support that Stone says But whats also important is to make sure that the factors that caused wolves to become endangered in the first place are addressed
